OBJECTID,OBSERVATIO,OBSERVED_G,COMP_BOUGU,FREE_AIR_A,ISOSTATIC_,TERRAIN_CO,ELEVATION_,LATITUDE_D,LONGITUDE_,COUNTY_NAM,TOWNSHIP,RANGE,SECTION,Transect_D
11582,11585,980791,-39.79,-40.32,0.61,0.4,5.27,47.361647,-123.045934,Mason,T22N,R03W,27,377
11586,11589,980791,-39.75,-40.34,0.67,0.4,5.27,47.361815,-123.045934,Mason,T22N,R03W,27,389
11507,11510,980787.8,-39.66,-42.77,2.96,0.61,5.08,47.352649,-123.022103,Mason,T22N,R03W,35,1224
11508,11511,980787.85,-39.96,-42.74,2.62,0.61,5.08,47.352817,-123.022103,Mason,T22N,R03W,35,1235
11575,11578,980787.5,-43.91,-44.29,0.16,0.49,3.48,47.360648,-123.026763,Mason,T22N,R03W,26,1473
11665,11668,980786.6,-45.77,-45.9,0.11,0.43,4.68,47.372648,-123.017093,Mason,T22N,R03W,26,2854
11620,11623,980786.5,-44.26,-45.2,0.89,0.56,5.58,47.366818,-122.998932,Mason,T22N,R03W,25,3568
11638,11641,980786.8,-43.98,-44.85,0.98,0.51,6.58,47.369652,-122.994102,Mason,T22N,R03W,25,4049
11753,11756,980785.71,-47.84,-48.11,0.11,0.4,3.18,47.382148,-123.004093,Mason,T22N,R03W,24,4272
11754,11757,980785.71,-47.84,-48.13,0.13,0.4,3.18,47.382315,-123.004263,Mason,T22N,R03W,24,4273
11809,11812,980785.6,-48.44,-48.62,0.14,0.38,4.07,47.389648,-122.987922,Mason,T22N,R02W,18,5749
11812,11815,980785.61,-48.43,-48.63,0.15,0.39,4.07,47.389815,-122.987922,Mason,T22N,R02W,18,5760
11815,11818,980787,-47.26,-47.54,0.13,0.39,3.17,47.390151,-122.986602,Mason,T22N,R02W,18,5862
11708,11711,980790.1,-42.12,-42.62,0.63,0.38,5.57,47.37815,-122.971921,Mason,T22N,R02W,19,5956
11712,11715,980790.1,-42.2,-42.64,0.58,0.37,5.57,47.378318,-122.971921,Mason,T22N,R02W,19,5967
11885,11888,980795.71,-38.58,-39.46,0.83,0.39,4.07,47.400149,-122.962261,Mason,T22N,R02W,17,7999
11886,11889,980795.71,-38.55,-39.46,0.86,0.39,4.07,47.400149,-122.962091,Mason,T22N,R02W,17,8009
11751,11754,980794.28,-38.18,-38.85,0.88,0.28,5.37,47.381984,-122.941929,Mason,T22N,R02W,21,8028
11752,11755,980794.3,-38.16,-38.83,0.88,0.28,5.37,47.381984,-122.941929,Mason,T22N,R02W,21,8028
11919,11922,980801,-34.21,-34.44,0.27,0.36,4.67,47.40515,-122.94276,Mason,T22N,R02W,9,9512
11920,11923,980801,-34.23,-34.44,0.25,0.36,4.67,47.40515,-122.94259,Mason,T22N,R02W,9,9522
11971,11974,980807.5,-28.01,-28,0.28,0.32,6.47,47.411983,-122.923259,Mason,T22N,R02W,10,11146
11972,11975,980807.5,-28.03,-28,0.26,0.32,6.47,47.411983,-122.923099,Mason,T22N,R02W,10,11155
12207,12210,980792.9,-28.09,-17.66,0.09,0.17,95.38,47.439483,-122.914089,Mason,T23N,R02W,34,13522
12208,12211,980792.8,-27.49,-16.6,0.06,0.17,99.18,47.439651,-122.912929,Mason,T23N,R02W,34,13603
12213,12216,980792.81,-27.5,-16.61,0.06,0.17,99.18,47.439815,-122.912929,Mason,T23N,R02W,34,13614
12140,12143,980819.4,-18.57,-18.61,0.12,0.23,3.77,47.430648,-122.881257,Mason,T22N,R02W,1,14926
12141,12144,980819.4,-18.59,-18.61,0.11,0.22,3.77,47.430648,-122.881097,Mason,T22N,R02W,1,14936
12199,12202,980820.1,-17.95,-17.45,0.07,0.19,7.76,47.43915,-122.863086,Mason,T23N,R01W,31,16589
12200,12203,980820.1,-17.95,-17.45,0.07,0.19,7.76,47.43915,-122.863086,Mason,T23N,R01W,31,16589
12347,12350,980794.3,-22.32,-8.69,0.16,0.24,124.77,47.456148,-122.880588,Mason,T23N,R02W,25,16654
12349,12352,980794.3,-22.34,-8.71,0.15,0.24,124.77,47.456316,-122.880588,Mason,T23N,R02W,25,16665
12319,12322,980821.25,-15.88,-15.36,0.79,0.18,14.16,47.450647,-122.828255,Mason,T23N,R01W,29,19460
12320,12323,980821.3,-15.83,-15.31,0.79,0.18,14.16,47.450647,-122.828095,Mason,T23N,R01W,29,19470
12405,12408,980805.9,-17.98,-7.82,0.15,0.06,92.46,47.464647,-122.809084,Mason,T23N,R01W,21,21547
12408,12411,980805.87,-18.02,-7.87,0.15,0.06,92.47,47.464815,-122.809254,Mason,T23N,R01W,21,21548
12459,12462,980806.8,-15.47,-4.01,0.07,0.08,103.47,47.46998,-122.801754,Mason,T23N,R01W,21,22344
